From	Entry	Reviewed	Protein names	Gene Names	Length	Entry Name
SAP30L	Q9HAJ7	reviewed	Histone deacetylase complex subunit SAP30L (HCV non-structural protein 4A-transactivated protein 2) (Sin3 corepressor complex subunit SAP30L) (Sin3-associated protein p30-like)	SAP30L NS4ATP2	183	SP30L_HUMAN
LARP1	Q6PKG0	reviewed	La-related protein 1 (La ribonucleoprotein domain family member 1)	LARP1 KIAA0731 LARP	1096	LARP1_HUMAN
FAXDC2	Q96IV6	reviewed	Fatty acid hydroxylase domain-containing protein 2	FAXDC2 C5orf4	333	FXDC2_HUMAN
CNOT8	Q9UFF9	reviewed	CCR4-NOT transcription complex subunit 8 (EC 3.1.13.4) (CAF1-like protein) (CALIFp) (CAF2) (CCR4-associated factor 8) (Caf1b)	CNOT8 CALIF POP2	292	CNOT8_HUMAN
GEMIN5	Q8TEQ6	reviewed	Gem-associated protein 5 (Gemin5)	GEMIN5	1508	GEMI5_HUMAN
MRPL22	Q9NWU5	reviewed	Large ribosomal subunit protein uL22m (39S ribosomal protein L22, mitochondrial) (L22mt) (MRP-L22) (39S ribosomal protein L25, mitochondrial) (L25mt) (MRP-L25)	MRPL22 MRPL25 RPML25 HSPC158	206	RM22_HUMAN
KIF4B	Q2VIQ3	reviewed	Chromosome-associated kinesin KIF4B (Chromokinesin-B)	KIF4B	1234	KIF4B_HUMAN
SGCD	Q92629	reviewed	Delta-sarcoglycan (Delta-SG) (35 kDa dystrophin-associated glycoprotein) (35DAG)	SGCD	289	SGCD_HUMAN
PPP1R2B	Q6NXS1	reviewed	Protein phosphatase inhibitor 2 family member B (PPP1R2 family member B) (Protein phosphatase 1, regulatory subunit 2 pseudogene 3) (Protein phosphatase inhibitor 2-like protein 3)	PPP1R2B PPP1R2P3	205	IPP2B_HUMAN
TIMD4	Q96H15	reviewed	T-cell immunoglobulin and mucin domain-containing protein 4 (TIMD-4) (T-cell immunoglobulin mucin receptor 4) (TIM-4) (T-cell membrane protein 4)	TIMD4 TIM4	378	TIMD4_HUMAN
HAVCR1	Q96D42	reviewed	Hepatitis A virus cellular receptor 1 (HAVcr-1) (Kidney injury molecule 1) (KIM-1) (T-cell immunoglobulin and mucin domain-containing protein 1) (TIMD-1) (T-cell immunoglobulin mucin receptor 1) (TIM) (TIM-1) (T-cell membrane protein 1) (CD antigen CD365)	HAVCR1 KIM1 TIM1 TIMD1	364	HAVR1_HUMAN
HAVCR2	Q8TDQ0	reviewed	Hepatitis A virus cellular receptor 2 (HAVcr-2) (T-cell immunoglobulin and mucin domain-containing protein 3) (TIMD-3) (T-cell immunoglobulin mucin receptor 3) (TIM-3) (T-cell membrane protein 3) (CD antigen CD366)	HAVCR2 TIM3 TIMD3	301	HAVR2_HUMAN
MED7	O43513	reviewed	Mediator of RNA polymerase II transcription subunit 7 (hMED7) (Activator-recruited cofactor 34 kDa component) (ARC34) (Cofactor required for Sp1 transcriptional activation subunit 9) (CRSP complex subunit 9) (Mediator complex subunit 7) (RNA polymerase transcriptional regulation mediator subunit 7 homolog) (Transcriptional coactivator CRSP33)	MED7 ARC34 CRSP9	233	MED7_HUMAN
GARIN3	Q8TC56	reviewed	Golgi-associated RAB2 interactor protein 3	GARIN3 FAM71B HSD-51 HSD51	605	GAR3_HUMAN
ITK	Q08881	reviewed	Tyrosine-protein kinase ITK/TSK (EC 2.7.10.2) (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk)	ITK EMT LYK	620	ITK_HUMAN
CYFIP2	Q96F07	reviewed	Cytoplasmic FMR1-interacting protein 2 (p53-inducible protein 121)	CYFIP2 KIAA1168 PIR121	1278	CYFP2_HUMAN
FNDC9	Q8TBE3	reviewed	Fibronectin type III domain-containing protein 9	FNDC9 C5orf40	224	FNDC9_HUMAN
NIPAL4	Q0D2K0	reviewed	Magnesium transporter NIPA4 (Ichthyin) (NIPA-like protein 4) (Non-imprinted in Prader-Willi/Angelman syndrome region protein 4)	NIPAL4 ICHN NIPA4	404	NIPA4_HUMAN
ADAM19	Q9H013	reviewed	Disintegrin and metalloproteinase domain-containing protein 19 (ADAM 19) (EC 3.4.24.-) (Meltrin-beta) (Metalloprotease and disintegrin dendritic antigen marker) (MADDAM)	ADAM19 MLTNB FKSG34	955	ADA19_HUMAN
SOX30	O94993	reviewed	Transcription factor SOX-30	SOX30	753	SOX30_HUMAN
C5orf52	A6NGY3	reviewed	Uncharacterized protein C5orf52	C5orf52	159	CE052_HUMAN
THG1L	Q9NWX6	reviewed	Probable tRNA(His) guanylyltransferase (EC 2.7.7.79) (Induced in high glucose-1) (IHG-1) (Interphase cytoplasmic foci protein 45) (tRNA-histidine guanylyltransferase)	THG1L ICF45	298	THG1_HUMAN
LSM11	P83369	reviewed	U7 snRNA-associated Sm-like protein LSm11	LSM11	360	LSM11_HUMAN
CLINT1	Q14677	reviewed	Clathrin interactor 1 (Clathrin-interacting protein localized in the trans-Golgi region) (Clint) (Enthoprotin) (Epsin-4) (Epsin-related protein) (EpsinR)	CLINT1 ENTH EPN4 EPNR KIAA0171	625	EPN4_HUMAN
EBF1	Q9UH73	reviewed	Transcription factor COE1 (O/E-1) (OE-1) (Early B-cell factor)	EBF1 COE1 EBF	591	COE1_HUMAN
RNF145	Q96MT1	reviewed	RING finger protein 145 (EC 2.3.2.27)	RNF145	663	RN145_HUMAN
UBLCP1	Q8WVY7	reviewed	Ubiquitin-like domain-containing CTD phosphatase 1 (EC 3.1.3.16) (Nuclear proteasome inhibitor UBLCP1)	UBLCP1	318	UBCP1_HUMAN
IL12B	P29460	reviewed	Interleukin-12 subunit beta (IL-12B) (Cytotoxic lymphocyte maturation factor 40 kDa subunit) (CLMF p40) (IL-12 subunit p40) (NK cell stimulatory factor chain 2) (NKSF2)	IL12B NKSF2	328	IL12B_HUMAN
ADRA1B	P35368	reviewed	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	ADRA1B	520	ADA1B_HUMAN
TTC1	Q99614	reviewed	Tetratricopeptide repeat protein 1 (TPR repeat protein 1)	TTC1 TPR1	292	TTC1_HUMAN
PWWP2A	Q96N64	reviewed	PWWP domain-containing protein 2A	PWWP2A KIAA1935 MST101	755	PWP2A_HUMAN
FABP6	P51161	reviewed	Gastrotropin (GT) (Fatty acid-binding protein 6) (Ileal lipid-binding protein) (ILBP) (Intestinal 15 kDa protein) (I-15P) (Intestinal bile acid-binding protein) (I-BABP)	FABP6 ILBP ILLBP	128	FABP6_HUMAN
CCNJL	Q8IV13	reviewed	Cyclin-J-like protein	CCNJL	435	CCNJL_HUMAN
C1QTNF2	Q9BXJ5	reviewed	Complement C1q tumor necrosis factor-related protein 2	C1QTNF2 CTRP2 UNQ6349/PRO21054	285	C1QT2_HUMAN
FAM200C	Q8IZ13	reviewed	Protein FAM200C (Protein ZBED8) (Transposon-derived Buster3 transposase-like protein) (Zinc finger BED domain-containing protein 8)	FAM200C Buster3 C5orf54 ZBED8	594	F200C_HUMAN
SLU7	O95391	reviewed	Pre-mRNA-splicing factor SLU7 (hSlu7)	SLU7	586	SLU7_HUMAN
PTTG1	O95997	reviewed	Securin (Esp1-associated protein) (Pituitary tumor-transforming gene 1 protein) (Tumor-transforming protein 1) (hPTTG)	PTTG1 EAP1 PTTG TUTR1	202	PTTG1_HUMAN
ATP10B	O94823	reviewed	Phospholipid-transporting ATPase VB (EC 7.6.2.1) (ATPase class V type 10B) (P4-ATPase flippase complex alpha subunit ATP10B)	ATP10B ATPVB KIAA0715	1461	AT10B_HUMAN
GABRB2	P47870	reviewed	Gamma-aminobutyric acid receptor subunit beta-2 (GABA(A) receptor subunit beta-2) (GABAAR subunit beta-2)	GABRB2	512	GBRB2_HUMAN
GABRA6	Q16445	reviewed	Gamma-aminobutyric acid receptor subunit alpha-6 (GABA(A) receptor subunit alpha-6) (GABAAR subunit alpha-6)	GABRA6	453	GBRA6_HUMAN
GABRA1	P14867	reviewed	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1) (GABAAR subunit alpha-1)	GABRA1	456	GBRA1_HUMAN
GABRG2	P18507	reviewed	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2) (GABAAR subunit gamma-2)	GABRG2	475	GBRG2_HUMAN
CCNG1	P51959	reviewed	Cyclin-G1 (Cyclin-G)	CCNG1 CCNG CYCG1	295	CCNG1_HUMAN
NUDCD2	Q8WVJ2	reviewed	NudC domain-containing protein 2	NUDCD2	157	NUDC2_HUMAN
HMMR	O75330	reviewed	Hyaluronan mediated motility receptor (Intracellular hyaluronic acid-binding protein) (Receptor for hyaluronan-mediated motility) (CD antigen CD168)	HMMR IHABP RHAMM	724	HMMR_HUMAN
MAT2B	Q9NZL9	reviewed	Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta) (MAT II beta) (Putative dTDP-4-keto-6-deoxy-D-glucose 4-reductase)	MAT2B TGR MSTP045 Nbla02999 UNQ2435/PRO4995	334	MAT2B_HUMAN
TENM2	Q9NT68	reviewed	Teneurin-2 (Ten-2) (Protein Odd Oz/ten-m homolog 2) (Tenascin-M2) (Ten-m2) (Teneurin transmembrane protein 2) [Cleaved into: Ten-2, soluble form; Ten-2 intracellular domain (Ten-2 ICD)]	TENM2 KIAA1127 ODZ2 TNM2	2774	TEN2_HUMAN
WWC1	Q8IX03	reviewed	Protein KIBRA (HBeAg-binding protein 3) (Kidney and brain protein) (KIBRA) (WW domain-containing protein 1)	WWC1 KIAA0869 KIBRA	1113	KIBRA_HUMAN
RARS1	P54136	reviewed	Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	RARS1 RARS	660	SYRC_HUMAN
FBLL1	A6NHQ2	reviewed	RNA 2'-O-methyltransferase FBLL1 (EC 2.1.1.-) (Fibrillarin like 1)	FBLL1	334	FBLL1_HUMAN
PANK3	Q9H999	reviewed	Pantothenate kinase 3 (hPanK3) (EC 2.7.1.33) (Pantothenic acid kinase 3)	PANK3	370	PANK3_HUMAN
SLIT3	O75094	reviewed	Slit homolog 3 protein (Slit-3) (Multiple epidermal growth factor-like domains protein 5) (Multiple EGF-like domains protein 5)	SLIT3 KIAA0814 MEGF5 SLIL2 UNQ691/PRO1336	1523	SLIT3_HUMAN
SPDL1	Q96EA4	reviewed	Protein Spindly (hSpindly) (Arsenite-related gene 1 protein) (Coiled-coil domain-containing protein 99) (Rhabdomyosarcoma antigen MU-RMS-40.4A) (Spindle apparatus coiled-coil domain-containing protein 1)	SPDL1 CCDC99	605	SPDLY_HUMAN
DOCK2	Q92608	reviewed	Dedicator of cytokinesis protein 2	DOCK2 KIAA0209	1830	DOCK2_HUMAN
INSYN2B	A6NMK8	reviewed	Protein INSYN2B (Inhibitory synaptic factor family member 2B)	INSYN2B C5orf57 FAM196B	535	INY2B_HUMAN
FOXI1	Q12951	reviewed	Forkhead box protein I1 (Forkhead-related protein FKHL10) (Forkhead-related transcription factor 6) (FREAC-6) (Hepatocyte nuclear factor 3 forkhead homolog 3) (HFH-3) (HNF-3/fork-head homolog 3)	FOXI1 FKHL10 FREAC6	378	FOXI1_HUMAN
LCP2	Q13094	reviewed	Lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76 kDa) (SLP-76 tyrosine phosphoprotein) (SLP76)	LCP2	533	LCP2_HUMAN
KCNIP1	Q9NZI2	reviewed	A-type potassium channel modulatory protein KCNIP1 (Kv channel-interacting protein 1) (KChIP1) (Potassium channel-interacting protein 1) (Vesicle APC-binding protein)	KCNIP1 KCHIP1 VABP	227	KCIP1_HUMAN
KCNMB1	Q16558	reviewed	Calcium-activated potassium channel subunit beta-1 (BK channel subunit beta-1) (BKbeta) (BKbeta1) (Hbeta1) (Calcium-activated potassium channel, subfamily M subunit beta-1) (Calcium-activated potassium channel subunit beta) (Charybdotoxin receptor subunit beta-1) (K(VCA)beta-1) (Maxi K channel subunit beta-1) (Slo-beta-1) (Slo-beta)	KCNMB1	191	KCMB1_HUMAN
GABRP	O00591	reviewed	Gamma-aminobutyric acid receptor subunit pi (GABA(A) receptor subunit pi) (GABAAR subunit pi)	GABRP	440	GBRP_HUMAN
RANBP17	Q9H2T7	reviewed	Ran-binding protein 17	RANBP17	1088	RBP17_HUMAN
TLX3	O43711	reviewed	T-cell leukemia homeobox protein 3 (Homeobox protein Hox-11L2)	TLX3 HOX11L2	291	TLX3_HUMAN
NPM1	P06748	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	294	NPM_HUMAN
FGF18	O76093	reviewed	Fibroblast growth factor 18 (FGF-18) (zFGF5)	FGF18 UNQ420/PRO856	207	FGF18_HUMAN
SMIM23	A6NLE4	reviewed	Small integral membrane protein 23	SMIM23 C5orf50	172	SIM23_HUMAN
FBXW11	Q9UKB1	reviewed	F-box/WD repeat-containing protein 11 (F-box and WD repeats protein beta-TrCP2) (F-box/WD repeat-containing protein 1B) (Homologous to Slimb protein) (HOS)	FBXW11 BTRCP2 FBW1B FBXW1B KIAA0696	542	FBW1B_HUMAN
STK10	O94804	reviewed	Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)	STK10 LOK	968	STK10_HUMAN
EFCAB9	A8MZ26	reviewed	EF-hand calcium-binding domain-containing protein 9	EFCAB9	197	EFCB9_HUMAN
UBTD2	Q8WUN7	reviewed	Ubiquitin domain-containing protein 2 (Dendritic cell-derived ubiquitin-like protein) (DC-UbP) (Ubiquitin-like protein SB72)	UBTD2 DCUBP SB72	234	UBTD2_HUMAN
SH3PXD2B	A1X283	reviewed	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	SH3PXD2B FAD49 KIAA1295 TKS4	911	SPD2B_HUMAN
NEURL1B	A8MQ27	reviewed	E3 ubiquitin-protein ligase NEURL1B (EC 2.3.2.27) (Neuralized-2) (NEUR2) (Neuralized-like protein 1B) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL1B)	NEURL1B NEURL3	555	NEU1B_HUMAN
DUSP1	P28562	reviewed	Dual specificity protein phosphatase 1 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH1) (Mitogen-activated protein kinase phosphatase 1) (MAP kinase phosphatase 1) (MKP-1) (Protein-tyrosine phosphatase CL100)	DUSP1 CL100 MKP1 PTPN10 VH1	367	DUS1_HUMAN
ERGIC1	Q969X5	reviewed	Endoplasmic reticulum-Golgi intermediate compartment protein 1 (ER-Golgi intermediate compartment 32 kDa protein) (ERGIC-32)	ERGIC1 ERGIC32 KIAA1181 HT034	290	ERGI1_HUMAN
RPL26L1	Q9UNX3	reviewed	Ribosomal protein uL24-like (60S ribosomal protein L26-like 1) (Large ribosomal subunit protein uL24-like 1)	RPL26L1 RPL26P1	145	RL26L_HUMAN
CREBRF	Q8IUR6	reviewed	CREB3 regulatory factor (Luman recruitment factor) (LRF)	CREBRF C5orf41	639	CRERF_HUMAN
NKX2-5	P52952	reviewed	Homeobox protein Nkx-2.5 (Cardiac-specific homeobox) (Homeobox protein CSX) (Homeobox protein NK-2 homolog E)	NKX2-5 CSX NKX2.5 NKX2E	324	NKX25_HUMAN
STC2	O76061	reviewed	Stanniocalcin-2 (STC-2) (Stanniocalcin-related protein) (STC-related protein) (STCRP)	STC2	302	STC2_HUMAN
BOD1	Q96IK1	reviewed	Biorientation of chromosomes in cell division protein 1 (Biorientation defective protein 1) (Protein FAM44B)	BOD1 FAM44B	185	BOD1_HUMAN
CPEB4	Q17RY0	reviewed	Cytoplasmic polyadenylation element-binding protein 4 (CPE-BP4) (CPE-binding protein 4) (hCPEB-4)	CPEB4 KIAA1673	729	CPEB4_HUMAN
C5orf47	Q569G3	reviewed	Uncharacterized protein C5orf47	C5orf47	176	CE047_HUMAN
NSG2	Q9Y328	reviewed	Neuronal vesicle trafficking-associated protein 2 (Neuron-specific protein family member 2) (Protein p19) (Hmp19)	NSG2 CALY3	171	NSG2_HUMAN
MSX2	P35548	reviewed	Homeobox protein MSX-2 (Homeobox protein Hox-8)	MSX2 HOX8	267	MSX2_HUMAN
DRD1	P21728	reviewed	D(1A) dopamine receptor (Dopamine D1 receptor)	DRD1	446	DRD1_HUMAN
SFXN1	Q9H9B4	reviewed	Sideroflexin-1	SFXN1	322	SFXN1_HUMAN
HRH2	P25021	reviewed	Histamine H2 receptor (H2R) (HH2R) (Gastric receptor I)	HRH2	359	HRH2_HUMAN
CPLX2	Q6PUV4	reviewed	Complexin-2 (Complexin II) (CPX II) (Synaphin-1)	CPLX2	134	CPLX2_HUMAN
SIMC1	Q8NDZ2	reviewed	SUMO-interacting motif-containing protein 1 (Platform element for inhibition of autolytic degradation)	SIMC1 C5orf25 PLEIAD	872	SIMC1_HUMAN
KIAA1191	Q96A73	reviewed	Putative monooxygenase p33MONOX (EC 1.-.-.-) (Brain-derived rescue factor p60MONOX) (Flavin monooxygenase motif-containing protein of 33 kDa)	KIAA1191 P33MONOX	305	P33MX_HUMAN
ARL10	Q8N8L6	reviewed	ADP-ribosylation factor-like protein 10	ARL10 ARL10A	244	ARL10_HUMAN
NOP16	Q9Y3C1	reviewed	Nucleolar protein 16 (HBV pre-S2 trans-regulated protein 3)	NOP16 CGI-117 HSPC111	178	NOP16_HUMAN
CLTB	P09497	reviewed	Clathrin light chain B (Lcb)	CLTB	229	CLCB_HUMAN
FAF2	Q96CS3	reviewed	FAS-associated factor 2 (UBX domain-containing protein 3B) (UBX domain-containing protein 8)	FAF2 ETEA KIAA0887 UBXD8 UBXN3B	445	FAF2_HUMAN
RNF44	Q7L0R7	reviewed	RING finger protein 44	RNF44 KIAA1100	432	RNF44_HUMAN
CDHR2	Q9BYE9	reviewed	Cadherin-related family member 2 (Protocadherin LKC) (PC-LKC) (Protocadherin-24)	CDHR2 PCDH24 PCLKC	1310	CDHR2_HUMAN
GPRIN1	Q7Z2K8	reviewed	G protein-regulated inducer of neurite outgrowth 1 (GRIN1)	GPRIN1 KIAA1893	1008	GRIN1_HUMAN
SNCB	Q16143	reviewed	Beta-synuclein	SNCB	134	SYUB_HUMAN
EIF4E1B	A6NMX2	reviewed	Eukaryotic translation initiation factor 4E type 1B	EIF4E1B	242	I4E1B_HUMAN
TSPAN17	Q96FV3	reviewed	Tetraspanin-17 (Tspan-17) (F-box only protein 23) (Tetraspan protein SB134) (Transmembrane 4 superfamily member 17)	TSPAN17 FBXO23 TM4SF17	270	TSN17_HUMAN
UNC5A	Q6ZN44	reviewed	Netrin receptor UNC5A (Protein unc-5 homolog 1) (Protein unc-5 homolog A)	UNC5A KIAA1976 UNC5H1	842	UNC5A_HUMAN
HK3	P52790	reviewed	Hexokinase-3 (EC 2.7.1.1) (Hexokinase type III) (HK III) (Hexokinase-C)	HK3	923	HXK3_HUMAN
UIMC1	Q96RL1	reviewed	BRCA1-A complex subunit RAP80 (Receptor-associated protein 80) (Retinoid X receptor-interacting protein 110) (Ubiquitin interaction motif-containing protein 1)	UIMC1 RAP80 RXRIP110	719	UIMC1_HUMAN
ZNF346	Q9UL40	reviewed	Zinc finger protein 346 (Just another zinc finger protein)	ZNF346 JAZ	294	ZN346_HUMAN
FGFR4	P22455	reviewed	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)	FGFR4 JTK2 TKF	802	FGFR4_HUMAN
NSD1	Q96L73	reviewed	Histone-lysine N-methyltransferase, H3 lysine-36 specific (EC 2.1.1.357) (Androgen receptor coactivator 267 kDa protein) (Androgen receptor-associated protein of 267 kDa) (H3-K36-HMTase) (Lysine N-methyltransferase 3B) (Nuclear receptor-binding SET domain-containing protein 1) (NR-binding SET domain-containing protein)	NSD1 ARA267 KMT3B	2696	NSD1_HUMAN
PRELID1	Q9Y255	reviewed	PRELI domain-containing protein 1, mitochondrial (25 kDa protein of relevant evolutionary and lymphoid interest) (Px19-like protein)	PRELID1 PRELI CGI-106 SBBI12	219	PRLD1_HUMAN
MXD3	Q9BW11	reviewed	Max dimerization protein 3 (Max dimerizer 3) (Class C basic helix-loop-helix protein 13) (bHLHc13) (Max-associated protein 3) (Max-interacting transcriptional repressor MAD3) (Myx)	MXD3 BHLHC13 MAD3	206	MAD3_HUMAN
LMAN2	Q12907	reviewed	Vesicular integral-membrane protein VIP36 (Glycoprotein GP36b) (Lectin mannose-binding 2) (Vesicular integral-membrane protein 36) (VIP36)	LMAN2 C5orf8	356	LMAN2_HUMAN
RGS14	O43566	reviewed	Regulator of G-protein signaling 14 (RGS14)	RGS14	566	RGS14_HUMAN
SLC34A1	Q06495	reviewed	Sodium-dependent phosphate transport protein 2A (Sodium-phosphate transport protein 2A) (Na(+)-dependent phosphate cotransporter 2A) (NaPi-3) (Sodium/phosphate cotransporter 2A) (Na(+)/Pi cotransporter 2A) (NaPi-2a) (Solute carrier family 34 member 1)	SLC34A1 NPT2 SLC17A2	639	NPT2A_HUMAN
PFN3	P60673	reviewed	Profilin-3 (Profilin III)	PFN3	137	PROF3_HUMAN
F12	P00748	reviewed	Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2)]	F12	615	FA12_HUMAN
GRK6	P43250	reviewed	G protein-coupled receptor kinase 6 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK6)	GRK6 GPRK6	576	GRK6_HUMAN
PRR7	Q8TB68	reviewed	Proline-rich protein 7 (Synaptic proline-rich membrane protein)	PRR7	274	PRR7_HUMAN
DBN1	Q16643	reviewed	Drebrin (Developmentally-regulated brain protein)	DBN1 D0S117E	649	DREB_HUMAN
PDLIM7	Q9NR12	reviewed	PDZ and LIM domain protein 7 (LIM mineralization protein) (LMP) (Protein enigma)	PDLIM7 ENIGMA	457	PDLI7_HUMAN
DOK3	Q7L591	reviewed	Docking protein 3 (Downstream of tyrosine kinase 3)	DOK3	496	DOK3_HUMAN
DDX41	Q9UJV9	reviewed	Probable ATP-dependent RNA helicase DDX41 (EC 3.6.4.13) (DEAD box protein 41) (DEAD box protein abstrakt homolog)	DDX41 ABS	622	DDX41_HUMAN
FAM193B	Q96PV7	reviewed	Protein FAM193B	FAM193B IRIZIO KIAA1931	902	F193B_HUMAN
TMED9	Q9BVK6	reviewed	Transmembrane emp24 domain-containing protein 9 (GMP25) (Glycoprotein 25L2) (p24 family protein alpha-2) (p24alpha2) (p25)	TMED9 GP25L2	235	TMED9_HUMAN
B4GALT7	Q9UBV7	reviewed	Beta-1,4-galactosyltransferase 7 (Beta-1,4-GalTase 7) (Beta4Gal-T7) (b4Gal-T7) (EC 2.4.1.-) (Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-xylose beta-1,4-galactosyltransferase) (XGPT) (XGalT-1) (Xylosylprotein 4-beta-galactosyltransferase) (EC 2.4.1.133) (Xylosylprotein beta-1,4-galactosyltransferase)	B4GALT7 XGALT1 UNQ748/PRO1478	327	B4GT7_HUMAN
PROP1	O75360	reviewed	Homeobox protein prophet of Pit-1 (PROP-1) (Pituitary-specific homeodomain factor)	PROP1	226	PROP1_HUMAN
N4BP3	O15049	reviewed	NEDD4-binding protein 3 (N4BP3)	N4BP3 KIAA0341	544	N4BP3_HUMAN
RMND5B	Q96G75	reviewed	E3 ubiquitin-protein transferase RMND5B (EC 2.3.2.27) (Protein RMD5 homolog B)	RMND5B UNQ2508/PRO5996	393	RMD5B_HUMAN
NHP2	Q9NX24	reviewed	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)	NHP2 NOLA2 HSPC286	153	NHP2_HUMAN
GMCL2	Q8NEA9	reviewed	Germ cell-less protein-like 2 (Germ cell-less protein-like 1-like)	GMCL2 GCL GMCL1L GMCL1P1	526	GMCL2_HUMAN
HNRNPAB	Q99729	reviewed	Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (APOBEC1-binding protein 1) (ABBP-1)	HNRNPAB ABBP1 HNRPAB	332	ROAA_HUMAN
PHYKPL	Q8IUZ5	reviewed	5-phosphohydroxy-L-lysine phospho-lyase (EC 4.2.3.134) (Alanine--glyoxylate aminotransferase 2-like 2)	PHYKPL AGXT2L2 PP9286	450	AT2L2_HUMAN
COL23A1	Q86Y22	reviewed	Collagen alpha-1(XXIII) chain	COL23A1	540	CONA1_HUMAN
CLK4	Q9HAZ1	reviewed	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	CLK4	481	CLK4_HUMAN
MSANTD5	A0A3B3IT52	reviewed	Uncharacterized protein MSANTD5 (Myb/SANT DNA binding domain-containing protein 5)	MSANTD5	213	MSD5_HUMAN
ZNF354A	O60765	reviewed	Zinc finger protein 354A (Transcription factor 17) (TCF-17) (Zinc finger protein eZNF)	ZNF354A EZNF HKL1 TCF17	605	Z354A_HUMAN
ZNF354B	Q96LW1	reviewed	Zinc finger protein 354B	ZNF354B	612	Z354B_HUMAN
ZFP2	Q6ZN57	reviewed	Zinc finger protein ZFP2 (Zfp-2) (Zinc finger protein 751)	ZFP2 ZNF751	461	ZFP2_HUMAN
ZNF454	Q8N9F8	reviewed	Zinc finger protein 454	ZNF454	522	ZN454_HUMAN
GRM6	O15303	reviewed	Metabotropic glutamate receptor 6 (mGluR6)	GRM6 GPRC1F MGLUR6	877	GRM6_HUMAN
ZNF879	B4DU55	reviewed	Zinc finger protein 879	ZNF879	563	ZN879_HUMAN
ZNF354C	Q86Y25	reviewed	Zinc finger protein 354C (Kidney, ischemia, and developmentally-regulated protein 3) (hKID3)	ZNF354C KID3	554	Z354C_HUMAN
ADAMTS2	O95450	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2) (EC 3.4.24.14) (Procollagen I N-proteinase) (PC I-NP) (Procollagen I/II amino propeptide-processing enzyme) (Procollagen N-endopeptidase) (pNPI)	ADAMTS2 PCINP PCPNI	1211	ATS2_HUMAN
RUFY1	Q96T51	reviewed	RUN and FYVE domain-containing protein 1 (FYVE-finger protein EIP1) (La-binding protein 1) (Rab4-interacting protein) (Zinc finger FYVE domain-containing protein 12)	RUFY1 RABIP4 ZFYVE12	708	RUFY1_HUMAN
HNRNPH1	P31943	reviewed	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]	HNRNPH1 HNRPH HNRPH1	449	HNRH1_HUMAN
C5orf60	A6NFR6	reviewed	Putative protein SPATA31J1	SPATA31J1 C5orf60	353	S31J1_HUMAN
CANX	P27824	reviewed	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	CANX	592	CALX_HUMAN
MAML1	Q92585	reviewed	Mastermind-like protein 1 (Mam-1)	MAML1 KIAA0200	1016	MAML1_HUMAN
LTC4S	Q16873	reviewed	Leukotriene C4 synthase (LTC4 synthase) (EC 4.4.1.20) (Glutathione S-transferase LTC4) (EC 2.5.1.-) (Leukotriene-C(4) synthase) (Leukotriene-C4 synthase)	LTC4S	150	LTC4S_HUMAN
